"date","campaign","sessions","ad.cost","ad.clicks","impressions"
2014-02-09,"Brand Search - Fondo universitario",5,0.93,3,12
2014-02-09,"Brand Search - Mapfre Autos",34,8.51,31,263
2014-02-09,"Brand Search - Mapfre SCTR",0,0,0,2
2014-02-09,"Brand Search - Mapfre Trebol Salud",0,1.92,3,31
2014-02-09,"Brand Search - Soat",14,9.47,16,32
2014-02-09,"Categoria Search - Mapfre Trebol Salud",5,12.67,9,104
2014-02-09,"Categorias Search - Decesos, Sepelios y Camposanto",0,5.48,6,19
2014-02-09,"Categorias Search - Mapfre Autos",30,23.99,23,131
2014-02-09,"Categorias Search - Mapfre Fondo Universitario",23,17.27,14,192
2014-02-09,"Categorias Search - Mapfre SCTR",5,8.3,8,59
2014-02-09,"Categorias Search - SOAT",14,19.43,15,140
2014-02-09,"Competencia Search - Mapfre Autos",5,9.99,4,32
2014-02-09,"Competencia Search - Mapfre Fondo Universitario",2,7.64,5,173
2014-02-09,"Competencia Search - Mapfre Trebol Salud",0,0,0,3
2014-02-09,"Competencia Search - SOAT",18,35.01,15,63
2014-02-09,"Display - Mapfre Trebol Salud",0,27.65,95,37474
2014-02-09,"Display - Marcas de Autos - Mapfre Autos",73,25.27,83,29565
2014-02-09,"Display I - Mapfre Fondo Universitario",154,49.39,230,83425
2014-02-09,"RMKT - Web - Fondo Universitario",23,3.95,28,6247
2014-02-09,"RMKT - Web - Mapfre Autos",11,3.71,8,1949
2014-02-10,"Brand Search - Deceso, Sepelios y Camposanto",0,0.21,7,27
2014-02-10,"Brand Search - Fondo universitario",7,1,3,11
2014-02-10,"Brand Search - Mapfre Autos",156,37.03,164,1232
2014-02-10,"Brand Search - Mapfre SCTR",0,1.74,5,12
2014-02-10,"Brand Search - Mapfre Trebol Salud",9,5.07,18,55
2014-02-10,"Brand Search - Soat",39,10.39,36,135
2014-02-10,"Categoria Search - Mapfre Trebol Salud",18,47.73,25,184
2014-02-10,"Categorias Search - Decesos, Sepelios y Camposanto",0,5.77,7,43
2014-02-10,"Categorias Search - Mapfre Autos",41,36.06,30,250
2014-02-10,"Categorias Search - Mapfre Fondo Universitario",18,27.43,23,404
2014-02-10,"Categorias Search - Mapfre SCTR",48,38.33,35,202
2014-02-10,"Categorias Search - SOAT",30,47.35,37,306
2014-02-10,"Competencia Search - Mapfre Autos",5,20.88,8,163
2014-02-10,"Competencia Search - Mapfre Fondo Universitario",2,11.57,3,42
2014-02-10,"Competencia Search - Mapfre Trebol Salud",0,0,0,35
2014-02-10,"Competencia Search - SOAT",32,66.58,33,192
2014-02-10,"Display - Mapfre Trebol Salud",0,28.52,85,42730
2014-02-10,"Display - Marcas de Autos - Mapfre Autos",76,35.17,133,36913
2014-02-10,"Display I - Mapfre Fondo Universitario",140,52.53,240,100408
2014-02-10,"RMKT - Web - Fondo Universitario",30,5.59,28,7632
2014-02-10,"RMKT - Web - Mapfre Autos",14,6.11,13,3403
2014-02-11,"(not set)",2,0,0,0
2014-02-11,"Brand Search - Deceso, Sepelios y Camposanto",0,0.2,6,22
2014-02-11,"Brand Search - Fondo universitario",2,0.35,1,17
2014-02-11,"Brand Search - Mapfre Autos",156,38.74,176,1033
2014-02-11,"Brand Search - Mapfre SCTR",9,1.09,4,5
2014-02-11,"Brand Search - Mapfre Trebol Salud",18,6.77,17,74
2014-02-11,"Brand Search - Soat",32,6.68,31,89
2014-02-11,"Categoria Search - Mapfre Trebol Salud",30,49,26,224
2014-02-11,"Categorias Search - Decesos, Sepelios y Camposanto",0,6.43,5,46
2014-02-11,"Categorias Search - Mapfre Autos",32,37.07,35,285
2014-02-11,"Categorias Search - Mapfre Fondo Universitario",14,35.23,24,341
2014-02-11,"Categorias Search - Mapfre SCTR",41,37.36,33,248
2014-02-11,"Categorias Search - SOAT",34,41.96,30,315
2014-02-11,"Competencia Search - Mapfre Autos",2,11.16,3,150
2014-02-11,"Competencia Search - Mapfre Fondo Universitario",0,10.76,3,134
2014-02-11,"Competencia Search - Mapfre Trebol Salud",0,0,0,40
2014-02-11,"Competencia Search - SOAT",11,41.88,12,109
2014-02-11,"Display - Mapfre Trebol Salud",0,28.32,73,30207
2014-02-11,"Display - Marcas de Autos - Mapfre Autos",64,22.99,72,35135
2014-02-11,"Display I - Mapfre Fondo Universitario",218,65.06,300,123347
2014-02-11,"RMKT - Web - Fondo Universitario",9,3.98,24,7327
2014-02-11,"RMKT - Web - Mapfre Autos",9,6.89,9,3272
2014-02-12,"Brand Search - Deceso, Sepelios y Camposanto",0,0.6,10,31
2014-02-12,"Brand Search - Fondo universitario",7,0.84,3,13
2014-02-12,"Brand Search - Mapfre Autos",131,33.62,145,1080
2014-02-12,"Brand Search - Mapfre SCTR",2,0.1,2,7
2014-02-12,"Brand Search - Mapfre Trebol Salud",9,1.15,4,43
2014-02-12,"Brand Search - Soat",44,10.1,45,99
2014-02-12,"Categoria Search - Mapfre Trebol Salud",18,58.52,27,198
2014-02-12,"Categorias Search - Decesos, Sepelios y Camposanto",0,6.69,5,10
2014-02-12,"Categorias Search - Mapfre Autos",39,36.29,28,244
2014-02-12,"Categorias Search - Mapfre Fondo Universitario",21,33.26,23,222
2014-02-12,"Categorias Search - Mapfre SCTR",30,36.86,29,170
2014-02-12,"Categorias Search - SOAT",37,38.93,34,351
2014-02-12,"Competencia Search - Mapfre Autos",0,19.65,6,185
2014-02-12,"Competencia Search - Mapfre Fondo Universitario",5,9.62,5,307
2014-02-12,"Competencia Search - Mapfre Trebol Salud",0,0,0,18
2014-02-12,"Competencia Search - SOAT",25,42.12,18,113
2014-02-12,"Display - Mapfre Trebol Salud",0,27.55,67,41477
2014-02-12,"Display - Marcas de Autos - Mapfre Autos",92,37.01,113,35099
2014-02-12,"Display I - Mapfre Fondo Universitario",179,64.22,288,102950
2014-02-12,"RMKT - Web - Fondo Universitario",18,5.11,22,7694
2014-02-12,"RMKT - Web - Mapfre Autos",11,4.69,12,3281
2014-02-13,"Brand Search - Deceso, Sepelios y Camposanto",0,0.28,3,21
2014-02-13,"Brand Search - Fondo universitario",2,0.29,1,13
2014-02-13,"Brand Search - Mapfre Autos",149,30.53,128,987
2014-02-13,"Brand Search - Mapfre SCTR",2,0.09,1,8
2014-02-13,"Brand Search - Mapfre Trebol Salud",28,6.03,15,62
2014-02-13,"Brand Search - Soat",39,13.4,40,103
2014-02-13,"Categoria Search - Mapfre Trebol Salud",23,50.28,24,146
2014-02-13,"Categorias Search - Decesos, Sepelios y Camposanto",0,4.25,4,12
2014-02-13,"Categorias Search - Mapfre Autos",28,35.91,28,199
2014-02-13,"Categorias Search - Mapfre Fondo Universitario",11,33.65,15,204
2014-02-13,"Categorias Search - Mapfre SCTR",30,36.56,32,166
2014-02-13,"Categorias Search - SOAT",37,29.06,39,334
2014-02-13,"Competencia Search - Mapfre Autos",5,24.12,8,132
2014-02-13,"Competencia Search - Mapfre Fondo Universitario",2,10.54,3,206
2014-02-13,"Competencia Search - Mapfre Trebol Salud",0,0,0,39
2014-02-13,"Competencia Search - SOAT",39,42.48,28,166
2014-02-13,"Display - Mapfre Trebol Salud",0,27.95,72,39199
2014-02-13,"Display - Marcas de Autos - Mapfre Autos",138,47.93,159,31639
2014-02-13,"Display I - Mapfre Fondo Universitario",165,62.6,266,103069
2014-02-13,"RMKT - Web - Fondo Universitario",11,3.85,19,7458
2014-02-13,"RMKT - Web - Mapfre Autos",11,3.56,6,3217
2014-02-14,"(not set)",5,0,0,0
2014-02-14,"Brand Search - Deceso, Sepelios y Camposanto",0,0.17,4,17
2014-02-14,"Brand Search - Fondo universitario",2,0.3,1,9
2014-02-14,"Brand Search - Mapfre Autos",103,26.58,114,769
2014-02-14,"Brand Search - Mapfre SCTR",2,0.38,3,6
2014-02-14,"Brand Search - Mapfre Trebol Salud",9,4.11,6,35
2014-02-14,"Brand Search - Soat",41,10,38,103
2014-02-14,"Categoria Search - Mapfre Trebol Salud",5,33.06,14,150
2014-02-14,"Categorias Search - Decesos, Sepelios y Camposanto",0,0,0,9
2014-02-14,"Categorias Search - Mapfre Autos",23,24.17,21,160
2014-02-14,"Categorias Search - Mapfre Fondo Universitario",16,31.93,18,263
2014-02-14,"Categorias Search - Mapfre SCTR",28,32.04,33,284
2014-02-14,"Categorias Search - SOAT",21,24.9,26,257
2014-02-14,"Competencia Search - Mapfre Autos",0,11.51,3,167
2014-02-14,"Competencia Search - Mapfre Fondo Universitario",14,9.91,8,319
2014-02-14,"Competencia Search - Mapfre Trebol Salud",0,0,0,13
2014-02-14,"Competencia Search - SOAT",18,43.18,21,146
2014-02-14,"Display - Mapfre Trebol Salud",0,26.8,78,50241
2014-02-14,"Display - Marcas de Autos - Mapfre Autos",78,35.71,131,29719
2014-02-14,"Display I - Mapfre Fondo Universitario",170,61.83,266,110537
2014-02-14,"RMKT - Web - Fondo Universitario",34,5.51,22,6952
2014-02-14,"RMKT - Web - Mapfre Autos",9,3.5,10,2765
2014-02-15,"(not set)",2,0,0,0
2014-02-15,"Brand Search - Deceso, Sepelios y Camposanto",0,0.08,2,13
2014-02-15,"Brand Search - Fondo universitario",5,0.52,2,10
2014-02-15,"Brand Search - Mapfre Autos",66,17.53,59,401
2014-02-15,"Brand Search - Mapfre SCTR",2,1.19,2,4
2014-02-15,"Brand Search - Mapfre Trebol Salud",9,1.51,6,45
2014-02-15,"Brand Search - Soat",11,5.41,25,87
2014-02-15,"Categoria Search - Mapfre Trebol Salud",7,12.31,7,95
2014-02-15,"Categorias Search - Decesos, Sepelios y Camposanto",0,6.25,5,7
2014-02-15,"Categorias Search - Mapfre Autos",18,23.37,18,124
2014-02-15,"Categorias Search - Mapfre Fondo Universitario",5,9.87,5,149
2014-02-15,"Categorias Search - Mapfre SCTR",16,18.97,15,81
2014-02-15,"Categorias Search - SOAT",18,21.93,20,182
2014-02-15,"Competencia Search - Mapfre Autos",0,21.45,3,71
2014-02-15,"Competencia Search - Mapfre Fondo Universitario",0,9.8,1,3
2014-02-15,"Competencia Search - Mapfre Trebol Salud",0,0.92,1,16
2014-02-15,"Competencia Search - SOAT",11,30.36,11,91
2014-02-15,"Display - Mapfre Trebol Salud",0,27.68,62,32918
2014-02-15,"Display - Marcas de Autos - Mapfre Autos",73,34.84,111,27810
2014-02-15,"Display I - Mapfre Fondo Universitario",160,63.11,259,115106
2014-02-15,"RMKT - Web - Fondo Universitario",16,3.45,20,6230
2014-02-15,"RMKT - Web - Mapfre Autos",9,6.5,8,2090
2014-02-16,"Brand Search - Deceso, Sepelios y Camposanto",0,0.41,4,8
2014-02-16,"Brand Search - Fondo universitario",5,0.88,3,7
2014-02-16,"Brand Search - Mapfre Autos",37,6.75,26,204
2014-02-16,"Brand Search - Mapfre SCTR",0,0,0,2
2014-02-16,"Brand Search - Mapfre Trebol Salud",5,1.13,7,26
2014-02-16,"Brand Search - Soat",9,3.9,7,27
2014-02-16,"Categoria Search - Mapfre Trebol Salud",14,22.45,14,99
2014-02-16,"Categorias Search - Decesos, Sepelios y Camposanto",0,1.09,1,10
2014-02-16,"Categorias Search - Mapfre Autos",16,16.77,16,95
2014-02-16,"Categorias Search - Mapfre Fondo Universitario",25,33.47,17,156
2014-02-16,"Categorias Search - Mapfre SCTR",11,10.33,12,72
2014-02-16,"Categorias Search - SOAT",9,10.81,9,122
2014-02-16,"Competencia Search - Mapfre Autos",0,4,2,36
2014-02-16,"Competencia Search - Mapfre Fondo Universitario",0,11.89,3,53
2014-02-16,"Competencia Search - Mapfre Trebol Salud",0,0,0,6
2014-02-16,"Competencia Search - SOAT",2,6.79,2,41
2014-02-16,"Display - Mapfre Trebol Salud",0,26.76,81,43726
2014-02-16,"Display - Marcas de Autos - Mapfre Autos",71,29.79,107,28223
2014-02-16,"Display I - Mapfre Fondo Universitario",163,62.07,259,96114
2014-02-16,"RMKT - Web - Fondo Universitario",18,5.9,24,5816
2014-02-16,"RMKT - Web - Mapfre Autos",2,3.26,6,1759
2014-02-17,"Brand Search - Deceso, Sepelios y Camposanto",0,0.27,5,19
2014-02-17,"Brand Search - Fondo universitario",2,1.29,5,19
2014-02-17,"Brand Search - Mapfre Autos",147,44.94,176,1060
2014-02-17,"Brand Search - Mapfre SCTR",5,0.55,2,3
2014-02-17,"Brand Search - Mapfre Trebol Salud",16,4.6,9,51
2014-02-17,"Brand Search - Soat",50,7.87,38,122
2014-02-17,"Categoria Search - Mapfre Trebol Salud",23,45.81,25,188
2014-02-17,"Categorias Search - Decesos, Sepelios y Camposanto",0,6.81,5,28
2014-02-17,"Categorias Search - Mapfre Autos",44,45.47,38,234
2014-02-17,"Categorias Search - Mapfre Fondo Universitario",21,35.21,20,340
2014-02-17,"Categorias Search - Mapfre SCTR",37,40.59,42,351
2014-02-17,"Categorias Search - SOAT",23,22.08,21,312
2014-02-17,"Competencia Search - Mapfre Autos",11,21.21,10,258
2014-02-17,"Competencia Search - Mapfre Fondo Universitario",5,11.59,4,168
2014-02-17,"Competencia Search - Mapfre Trebol Salud",0,0,0,43
2014-02-17,"Competencia Search - SOAT",16,50.27,24,144
2014-02-17,"Display - Mapfre Trebol Salud",0,27.79,72,39373
2014-02-17,"Display - Marcas de Autos - Mapfre Autos",87,41.94,130,33347
2014-02-17,"Display I - Mapfre Fondo Universitario",172,62.55,265,109460
2014-02-17,"RMKT - Web - Fondo Universitario",11,3.54,18,6827
2014-02-17,"RMKT - Web - Mapfre Autos",7,5.76,8,3011
2014-02-18,"Brand Search - Deceso, Sepelios y Camposanto",0,0.07,2,19
2014-02-18,"Brand Search - Fondo universitario",9,2.64,2,4
2014-02-18,"Brand Search - Mapfre Autos",183,40.65,154,1072
2014-02-18,"Brand Search - Mapfre SCTR",2,0.88,3,7
2014-02-18,"Brand Search - Mapfre Trebol Salud",16,3.9,15,59
2014-02-18,"Brand Search - Soat",34,8.36,37,86
2014-02-18,"Categoria Search - Mapfre Trebol Salud",28,52.05,26,187
2014-02-18,"Categorias Search - Decesos, Sepelios y Camposanto",0,3.14,4,18
2014-02-18,"Categorias Search - Mapfre Autos",53,46.28,39,302
2014-02-18,"Categorias Search - Mapfre Fondo Universitario",16,42.38,25,356
2014-02-18,"Categorias Search - Mapfre SCTR",46,38.89,35,373
2014-02-18,"Categorias Search - SOAT",32,33.96,29,338
2014-02-18,"Competencia Search - Mapfre Autos",7,10.56,6,212
2014-02-18,"Competencia Search - Mapfre Fondo Universitario",7,9.76,6,153
2014-02-18,"Competencia Search - Mapfre Trebol Salud",0,0,0,49
2014-02-18,"Competencia Search - SOAT",11,43.68,21,193
2014-02-18,"Display - Mapfre Trebol Salud",0,27.3,72,38746
2014-02-18,"Display - Marcas de Autos - Mapfre Autos",71,33.33,98,32983
2014-02-18,"Display I - Mapfre Fondo Universitario",179,63.41,269,106308
2014-02-18,"RMKT - Web - Fondo Universitario",28,5.86,23,6936
2014-02-18,"RMKT - Web - Mapfre Autos",11,9.67,9,2900
2014-02-19,"Brand Search - Deceso, Sepelios y Camposanto",0,0.76,8,28
2014-02-19,"Brand Search - Fondo universitario",5,0.55,2,13
2014-02-19,"Brand Search - Mapfre Autos",181,34.32,145,1019
2014-02-19,"Brand Search - Mapfre SCTR",5,0.55,3,3
2014-02-19,"Brand Search - Mapfre Trebol Salud",16,3.9,8,52
2014-02-19,"Brand Search - Soat",48,7.25,37,103
2014-02-19,"Categoria Search - Mapfre Trebol Salud",28,53.3,29,216
2014-02-19,"Categorias Search - Decesos, Sepelios y Camposanto",0,2.42,2,3
2014-02-19,"Categorias Search - Mapfre Autos",39,33.61,29,233
2014-02-19,"Categorias Search - Mapfre Fondo Universitario",7,41.46,18,306
2014-02-19,"Categorias Search - Mapfre SCTR",34,39.4,39,328
2014-02-19,"Categorias Search - SOAT",25,54.09,44,374
2014-02-19,"Competencia Search - Mapfre Autos",11,23.88,10,140
2014-02-19,"Competencia Search - Mapfre Fondo Universitario",5,10.23,6,216
2014-02-19,"Competencia Search - Mapfre Trebol Salud",0,0,0,21
2014-02-19,"Competencia Search - SOAT",23,54.83,20,87
2014-02-19,"Display - Mapfre Trebol Salud",0,27.52,73,48963
2014-02-19,"Display - Marcas de Autos - Mapfre Autos",62,29.78,90,31839
2014-02-19,"Display I - Mapfre Fondo Universitario",170,63.14,260,97048
2014-02-19,"RMKT - Web - Fondo Universitario",21,3.79,21,6872
2014-02-19,"RMKT - Web - Mapfre Autos",5,8.07,11,2851
2014-02-20,"Brand Search - Deceso, Sepelios y Camposanto",0,0.26,4,34
2014-02-20,"Brand Search - Fondo universitario",0,0.35,1,11
2014-02-20,"Brand Search - Mapfre Autos",193,32.57,133,873
2014-02-20,"Brand Search - Mapfre SCTR",0,0,0,7
2014-02-20,"Brand Search - Mapfre Trebol Salud",14,4.76,14,77
2014-02-20,"Brand Search - Soat",41,8.7,42,117
2014-02-20,"Categoria Search - Mapfre Trebol Salud",21,60.87,32,209
2014-02-20,"Categorias Search - Decesos, Sepelios y Camposanto",0,7.77,5,20
2014-02-20,"Categorias Search - Mapfre Autos",34,40.99,33,205
2014-02-20,"Categorias Search - Mapfre Fondo Universitario",25,41.64,27,441
2014-02-20,"Categorias Search - Mapfre SCTR",23,25.37,23,300
2014-02-20,"Categorias Search - SOAT",32,29.29,25,318
2014-02-20,"Competencia Search - Mapfre Autos",5,16.96,9,226
2014-02-20,"Competencia Search - Mapfre Fondo Universitario",5,11.51,2,15
2014-02-20,"Competencia Search - Mapfre Trebol Salud",0,0,0,32
2014-02-20,"Competencia Search - SOAT",14,43.09,23,175
2014-02-20,"Display - Mapfre Trebol Salud",0,26.68,68,42747
2014-02-20,"Display - Marcas de Autos - Mapfre Autos",50,27.4,72,31786
2014-02-20,"Display I - Mapfre Fondo Universitario",154,58.59,251,128414
2014-02-20,"RMKT - Web - Fondo Universitario",5,3.76,13,5395
2014-02-20,"RMKT - Web - Mapfre Autos",7,3.56,7,2731
2014-02-21,"Brand Search - Deceso, Sepelios y Camposanto",0,0.2,3,14
2014-02-21,"Brand Search - Fondo universitario",0,0,0,13
2014-02-21,"Brand Search - Mapfre Autos",101,22.6,104,846
2014-02-21,"Brand Search - Mapfre SCTR",0,2,3,11
2014-02-21,"Brand Search - Mapfre Trebol Salud",14,4.95,8,61
2014-02-21,"Brand Search - Soat",34,10.47,42,107
2014-02-21,"Categoria Search - Mapfre Trebol Salud",11,42.71,23,214
2014-02-21,"Categorias Search - Decesos, Sepelios y Camposanto",0,9.3,6,9
2014-02-21,"Categorias Search - Mapfre Autos",34,32.89,25,217
2014-02-21,"Categorias Search - Mapfre Fondo Universitario",18,35.11,20,303
2014-02-21,"Categorias Search - Mapfre SCTR",25,32.48,31,269
2014-02-21,"Categorias Search - SOAT",41,46.73,41,302
2014-02-21,"Competencia Search - Mapfre Autos",5,9.42,5,170
2014-02-21,"Competencia Search - Mapfre Fondo Universitario",2,10.16,2,27
2014-02-21,"Competencia Search - Mapfre Trebol Salud",0,0,0,31
2014-02-21,"Competencia Search - SOAT",30,50.23,25,185
2014-02-21,"Display - Mapfre Trebol Salud",0,26.36,65,43538
2014-02-21,"Display - Marcas de Autos - Mapfre Autos",76,40.19,107,33956
2014-02-21,"Display I - Mapfre Fondo Universitario",138,59.1,237,176182
2014-02-21,"RMKT - Web - Fondo Universitario",9,3.95,20,6482
2014-02-21,"RMKT - Web - Mapfre Autos",11,9.4,14,2592
2014-02-22,"Brand Search - Deceso, Sepelios y Camposanto",0,0,0,11
2014-02-22,"Brand Search - Fondo universitario",0,0,0,7
2014-02-22,"Brand Search - Mapfre Autos",44,14.37,60,386
2014-02-22,"Brand Search - Mapfre SCTR",0,0,0,4
2014-02-22,"Brand Search - Mapfre Trebol Salud",2,0.88,5,43
2014-02-22,"Brand Search - Soat",64,13.47,41,74
2014-02-22,"Categoria Search - Mapfre Trebol Salud",32,48.67,28,111
2014-02-22,"Categorias Search - Decesos, Sepelios y Camposanto",0,0.81,1,26
2014-02-22,"Categorias Search - Mapfre Autos",23,24.7,24,105
2014-02-22,"Categorias Search - Mapfre Fondo Universitario",18,33.08,16,131
2014-02-22,"Categorias Search - Mapfre SCTR",2,8.5,8,94
2014-02-22,"Categorias Search - SOAT",16,21.03,19,181
2014-02-22,"Competencia Search - Mapfre Autos",9,7.45,4,70
2014-02-22,"Competencia Search - Mapfre Fondo Universitario",5,11.04,5,65
2014-02-22,"Competencia Search - Mapfre Trebol Salud",0,0,0,4
2014-02-22,"Competencia Search - SOAT",7,24.93,9,96
2014-02-22,"Display - Mapfre Trebol Salud",0,26.05,74,36172
2014-02-22,"Display - Marcas de Autos - Mapfre Autos",64,27.82,91,29779
2014-02-22,"Display I - Mapfre Fondo Universitario",183,59.32,229,78179
2014-02-22,"RMKT - Web - Fondo Universitario",14,3.76,20,6256
2014-02-22,"RMKT - Web - Mapfre Autos",2,1.64,6,1956
2014-02-23,"Brand Search - Deceso, Sepelios y Camposanto",0,0.16,3,19
2014-02-23,"Brand Search - Fondo universitario",0,0.31,1,7
2014-02-23,"Brand Search - Mapfre Autos",62,9.9,37,309
2014-02-23,"Brand Search - Mapfre Trebol Salud",2,0.32,1,28
2014-02-23,"Brand Search - Soat",16,2.65,10,29
2014-02-23,"Categoria Search - Mapfre Trebol Salud",14,24.07,9,101
2014-02-23,"Categorias Search - Decesos, Sepelios y Camposanto",0,8.78,9,119
2014-02-23,"Categorias Search - Mapfre Autos",9,16.56,18,86
2014-02-23,"Categorias Search - Mapfre Fondo Universitario",23,28.26,16,188
2014-02-23,"Categorias Search - Mapfre SCTR",9,13.5,11,61
2014-02-23,"Categorias Search - SOAT",14,18.29,14,132
2014-02-23,"Competencia Search - Mapfre Autos",0,0,0,48
2014-02-23,"Competencia Search - Mapfre Fondo Universitario",0,9.96,3,41
2014-02-23,"Competencia Search - Mapfre Trebol Salud",0,0,0,7
2014-02-23,"Competencia Search - SOAT",14,16.15,8,36
2014-02-23,"Display - Mapfre Trebol Salud",0,25.66,73,31660
2014-02-23,"Display - Marcas de Autos - Mapfre Autos",48,26.38,80,27769
2014-02-23,"Display I - Mapfre Fondo Universitario",190,58.38,231,94398
2014-02-23,"RMKT - Web - Fondo Universitario",25,6.44,25,5748
2014-02-23,"RMKT - Web - Mapfre Autos",2,8.14,7,1720
2014-02-24,"Brand Search - Deceso, Sepelios y Camposanto",0,0.94,11,25
2014-02-24,"Brand Search - Fondo universitario",5,1.51,5,17
2014-02-24,"Brand Search - Mapfre Autos",165,43.79,160,1157
2014-02-24,"Brand Search - Mapfre SCTR",0,0.44,2,2
2014-02-24,"Brand Search - Mapfre Trebol Salud",5,7.31,19,78
2014-02-24,"Brand Search - Soat",46,14.43,51,120
2014-02-24,"Categoria Search - Mapfre Trebol Salud",28,71.56,34,188
2014-02-24,"Categorias Search - Decesos, Sepelios y Camposanto",0,0,0,21
2014-02-24,"Categorias Search - Mapfre Autos",44,57.09,42,277
2014-02-24,"Categorias Search - Mapfre Empresarial 2",2,0,0,0
2014-02-24,"Categorias Search - Mapfre Fondo Universitario",23,45.12,22,347
2014-02-24,"Categorias Search - Mapfre SCTR",50,49.71,36,288
2014-02-24,"Categorias Search - SOAT",16,47.62,36,342
2014-02-24,"Competencia Search - Mapfre Autos",5,22.35,6,204
2014-02-24,"Competencia Search - Mapfre Fondo Universitario",5,8.63,4,158
2014-02-24,"Competencia Search - Mapfre Trebol Salud",0,2.87,1,30
2014-02-24,"Competencia Search - SOAT",34,58.95,29,216
2014-02-24,"Display - Mapfre Trebol Salud",0,26.52,65,45433
2014-02-24,"Display - Marcas de Autos - Mapfre Autos",73,35.5,108,40466
2014-02-24,"Display I - Mapfre Fondo Universitario",158,59.46,240,102956
2014-02-24,"RMKT - Web - Fondo Universitario",9,3.99,20,7218
2014-02-24,"RMKT - Web - Mapfre Autos",9,4.97,8,3037
2014-02-25,"Brand Search - Deceso, Sepelios y Camposanto",0,0.35,5,19
2014-02-25,"Brand Search - Fondo universitario",5,0.84,3,29
2014-02-25,"Brand Search - Mapfre Autos",144,34.01,138,1050
2014-02-25,"Brand Search - Mapfre SCTR",7,1.24,4,8
2014-02-25,"Brand Search - Mapfre Trebol Salud",9,1.78,8,67
2014-02-25,"Brand Search - Soat",37,9.44,45,96
2014-02-25,"Categoria Search - Mapfre Trebol Salud",21,71.3,36,227
2014-02-25,"Categorias Search - Decesos, Sepelios y Camposanto",0,2.09,3,69
2014-02-25,"Categorias Search - Mapfre Autos",30,28.52,24,213
2014-02-25,"Categorias Search - Mapfre Fondo Universitario",37,44.42,27,358
2014-02-25,"Categorias Search - Mapfre SCTR",39,53.75,40,343
2014-02-25,"Categorias Search - SOAT",41,54.98,43,311
2014-02-25,"Competencia Search - Mapfre Autos",11,17.6,9,236
2014-02-25,"Competencia Search - Mapfre Fondo Universitario",7,10.68,3,181
2014-02-25,"Competencia Search - Mapfre Trebol Salud",0,0,0,21
2014-02-25,"Competencia Search - SOAT",30,84.05,27,155
2014-02-25,"Display - Mapfre Trebol Salud",0,26.54,72,52954
2014-02-25,"Display - Marcas de Autos - Mapfre Autos",78,40.01,114,39616
2014-02-25,"Display I - Mapfre Fondo Universitario",144,58.26,237,91174
2014-02-25,"RMKT - Web - Fondo Universitario",25,4.97,23,7193
2014-02-25,"RMKT - Web - Mapfre Autos",5,1.88,4,2791
2014-02-26,"Brand Search - Deceso, Sepelios y Camposanto",0,0.13,3,17
2014-02-26,"Brand Search - Fondo universitario",2,0.73,2,10
2014-02-26,"Brand Search - Mapfre Autos",140,33.96,134,931
2014-02-26,"Brand Search - Mapfre SCTR",5,1.77,6,11
2014-02-26,"Brand Search - Mapfre Trebol Salud",14,7.66,14,76
2014-02-26,"Brand Search - Soat",14,5.19,21,80
2014-02-26,"Categoria Search - Mapfre Trebol Salud",9,40.37,24,204
2014-02-26,"Categorias Search - Decesos, Sepelios y Camposanto",0,9.11,12,25
2014-02-26,"Categorias Search - Mapfre Autos",30,33.96,27,203
2014-02-26,"Categorias Search - Mapfre Fondo Universitario",18,43.68,23,429
2014-02-26,"Categorias Search - Mapfre SCTR",28,53.99,39,365
2014-02-26,"Categorias Search - SOAT",23,35.21,29,379
2014-02-26,"Competencia Search - Mapfre Autos",11,14.35,7,221
2014-02-26,"Competencia Search - Mapfre Fondo Universitario",2,7.63,6,219
2014-02-26,"Competencia Search - Mapfre Trebol Salud",0,0,0,30
2014-02-26,"Competencia Search - SOAT",48,79.03,36,214
2014-02-26,"Display - Mapfre Trebol Salud",0,26.49,65,34738
2014-02-26,"Display - Marcas de Autos - Mapfre Autos",73,32.44,100,37620
2014-02-26,"Display I - Mapfre Fondo Universitario",172,57.5,226,100056
2014-02-26,"RMKT - Web - Fondo Universitario",23,5.78,26,7070
2014-02-26,"RMKT - Web - Mapfre Autos",9,5.62,9,3018
2014-02-27,"Brand Search - Deceso, Sepelios y Camposanto",0,0.82,8,18
2014-02-27,"Brand Search - Fondo universitario",7,1.58,4,15
2014-02-27,"Brand Search - Mapfre Autos",144,35.02,140,1020
2014-02-27,"Brand Search - Mapfre SCTR",5,0.93,4,7
2014-02-27,"Brand Search - Mapfre Trebol Salud",21,2.76,15,73
2014-02-27,"Brand Search - Soat",55,9.97,36,115
2014-02-27,"Categoria Search - Mapfre Trebol Salud",16,43.81,20,217
2014-02-27,"Categorias Search - Decesos, Sepelios y Camposanto",0,5.1,15,56
2014-02-27,"Categorias Search - Mapfre Autos",60,60.01,43,292
2014-02-27,"Categorias Search - Mapfre Fondo Universitario",76,44.31,23,182
2014-02-27,"Categorias Search - Mapfre SCTR",25,43.38,39,331
2014-02-27,"Categorias Search - SOAT",16,18.05,17,310
2014-02-27,"Competencia Search - Mapfre Autos",9,24.49,6,147
2014-02-27,"Competencia Search - Mapfre Fondo Universitario",0,9.07,5,134
2014-02-27,"Competencia Search - Mapfre Trebol Salud",0,0,0,23
